;;;;;;;;;;;;;
500001.T;The Purchase of Greenland?;;;;;;;;;;;;;
500001.D;Stating Greenland's Proximity to Vinland, we have been approached to sell Greenland. Shall We?;;;;;;;;;;;;;
500001.A;Let's do it, it's worthless anyway;;;;;;;;;;;;;
500001.B;Greenland is an integral part of Scandinavia and is not for sale!;;;;;;;;;;;;;
500002.T;Scandinavia Agrees!;;;;;;;;;;;;;
500002.D;Scandinavia has agreed to sell us Greenland!;;;;;;;;;;;;;
500002.A;Great!;;;;;;;;;;;;;
500003.T;Scandinavia Refuses!;;;;;;;;;;;;;
500003.D;Scandinavia has declined our request to purchase Greenland off of them;;;;;;;;;;;;;
500003.A;What a shame;;;;;;;;;;;;;
500011.T;Our Next Steps;;;;;;;;;;;;;
500011.DE;With Arcadia and Ameriga now a reality, we must act! Our Government is split between pursuing military campaigns to secure more land or to liberalise and open up to immigrants, what shall we do?;;;;;;;;;;;;;
500011.A;We must prevent Arcadia from reaching the Pacific coast at all costs!;;;;;;;;;;;;;
500011.B;We must cut arcadia down to size before they dominate the New World!;;;;;;;;;;;;;
500011.C;The Incas have been a thorn in our side for too long, this must be rectified...;;;;;;;;;;;;;
500011.D;We must seize the Amazon for ourselves to ensure Amergia stays irrelevant;;;;;;;;;;;;;
500011.E;We must strive to attract more people to our country;;;;;;;;;;;;;
500021.T;The Incan Retaliation!;;;;;;;;;;;;;
500021.D;Our claims and our settlers repeated incursions have left the Incas feeling no other choice but to try to banish us to the history books! We must take up arms and try to repel the attackers or risk losing our nation!;;;;;;;;;;;;;
500021.A;May King Arthur guide us to victory!;;;;;;;;;;;;;
500022.T;The Inca's Noble Mission;;;;;;;;;;;;;
500022.D;Our leader has decided to declare that our nation has one noble mission that will be the cornerstone of our future foreign and domestic policies. From today all...;;;;;;;;;;;;;
500022.A;...slaves and former slaves and their decendants shall be citizens of our Empire!;;;;;;;;;;;;;
500022.B;...Native new worlders, regardless of locations on the continents, shall be citizens of our Empire!;;;;;;;;;;;;;
500023.T;Sell Trinidad?;;;;;;;;;;;;;
500023.D;The nation of New Courland has approached us to buy the isle of Trinidad, what shall we say?;;;;;;;;;;;;;
500023.A;Sounds like a good deal!;;;;;;;;;;;;;
500023.B;Trinidad is better off under Colombian Leadership;;;;;;;;;;;;;
500023A.T;Gran Colombia Agrees!;;;;;;;;;;;;;
500023A.D;Gran Colombia has agreed to sell us the island of Trinidad;;;;;;;;;;;;;
500023A.A;Rejoice!;;;;;;;;;;;;;
500023B.T;Gran Colombia Refuses!;;;;;;;;;;;;;
500023B.D;Gran Colombia has refused to sell us the island of Trinidad;;;;;;;;;;;;;
500023B.A;What a Shame...;;;;;;;;;;;;;
500024.T;Sell Bermuda?;;;;;;;;;;;;;
500024.D;The nation of New Courland has approached us to buy the isle of Bermuda, what shall we say?;;;;;;;;;;;;;
500024.A;Sounds like a good deal!;;;;;;;;;;;;;
500024.B;Bermuda is too much of a strategic location to sell;;;;;;;;;;;;;
500024A.T;Bermuda Sold!;;;;;;;;;;;;;
500024A.D;Through much haggling, we now have the isle of Bermuda!;;;;;;;;;;;;;
500024A.A;Rejoice!;;;;;;;;;;;;;
500024B.T;Bermuda negotiations break down;;;;;;;;;;;;;
500024B.D;Despite our best efforts, we have been unable to purchase Bermuda;;;;;;;;;;;;;
500024B.A;What a Shame...;;;;;;;;;;;;;
500025.T;The Desitny of New Courland;;;;;;;;;;;;;
500025.D;Now we have united the Caribbean Archipelago, we must decide on what steps our country should take next. What shall it be?;;;;;;;;;;;;;
500025.A;We Shall Return home to the Baltics at once!;;;;;;;;;;;;;
500025.B;We Shall dominate the Atlantic ocean!;;;;;;;;;;;;;
